PASTA,IMAGEM,kb,usar,LEGENDA
"/ (image root)",,,,
"Angel and Frank",,,,
,p001-i1-box.jpg,57,,
,p001-i2-box.jpg,71,,
,p002-detail.png,34,,
,p002-sousplat.jpg,24,,
"Natasha Lourence",,,,
,p003-KeyHolder.jpg,49,,
,p004-i1-teaChest.jpg,29,,
,p004-i2-teaOpenBox.jpg,81,,
,p004-i3-teaTopView.jpg,20,,

